loan_id,customer_id,loan_amount,interest_rate,start_date
LON5TMANHIARPCM,CUSGBN25JCAPK8J,29100.17,10.28,01-05-2020
LON8L6Z6YF4XFSR,CUSCW0EHCJ533OT,56440.33,3.98,18-06-2019
LON6AZE3AHYHH90,CUS1KOWVFY0AQE6,6578.77,6.25,18-06-2024
LONUS3ARG4LFW0T,CUSTEUVGHUWJWSZ,3763.78,8.53,24-12-2019
LONCJCFQ3X09BOS,CUSZF9WNSKPSM3I,58068.75,6.95,25-10-2022
LONP5N3PYEB062W,CUSYWY7OO16F8GU,17671.58,10.13,20-01-2019
LONA0DY9M38EAJO,CUSPNBU3K6OYIJZ,7859.69,18.87,28-10-2021
LONSGTWK6LQZ99A,CUS1C4DYZ60LAEZ,63808.11,3.94,17-10-2025
LON13WKHI93SLIG,CUS7FGESC34AET3,3290.18,8.72,06-08-2020
LON4J6UEQXGN830,CUSL30CCTBD8N08,11146.7,8.71,12-01-2022
LONZ4PJQBQWXGX0,CUSKG8Z0YMLIDMD,9690.52,16.67,07-05-2023
LON68VMBQHM1G9Q,CUSBE5RSYFBB2X8,30009.87,7.04,19-08-2025
LON8X4EIXB4KK39,CUS6W6NCH4H9CGJ,6353.21,7.72,16-04-2023
LON338C06PUEB7I,CUS7K5RN501FAYZ,53888.37,4.28,18-01-2022
LON2OX6E2INWXS1,CUSE05SA9C2LTWI,59768.94,2.12,28-11-2020
LON0RH6YXKEAVM7,CUSSZ41K2JVSNOT,66884.26,3.5,18-07-2020
LONRF9SDVAHG46H,CUSWYQGFHLNNJ6F,30201.09,8.38,05-03-2020
LONHU6YY8H2CU6X,CUSZEZMOHHZMRJT,3358.94,7.33,11-04-2024
LONM5PEI4UEWTRX,CUSKX3QS5YGDYTP,21060.51,8.39,27-09-2021
LONY9ICOGPDYGWP,CUS2FT5HSY2RZ7H,11437.98,13.37,28-10-2022
LONUSAMV3S5LRMB,CUS2GEH5E5LMJYF,33445.18,9.9,15-08-2023
LONSWK2VXFPSLD5,CUSPIXQVLE1NT2R,21724.64,11.47,21-02-2023
LON5S2LGIZ1M4EU,CUSKMFAD89C2HEV,38391.54,14.66,22-09-2021
LONQG36V5YD3DIS,CUS0BFXRLREJ84U,76009.46,9.21,10-10-2024
LONMWOLVKCL331X,CUSUYJKEBVHU35F,31818.85,5.11,18-11-2025
LON5072RLMU1WAD,CUS60UZB1OD787V,30947.12,8.14,26-10-2024
LONDN4CVCJMZYQ5,CUS5OVLGCBH8CLQ,8809.16,13.48,17-10-2020
LONXXLV2IJYX423,CUSP8Z5ERA0RX47,34561.81,11.55,19-04-2022
LON91VCNPL5LRWN,CUSFUVRT5W2UR40,18663.33,7.22,25-11-2024
LONE0R9M4VJW4MP,CUSZPP2Y3NVTVQ9,500,9.48,19-04-2021
LONN9LG0AJAYV2F,CUS2Z0LU08LS2LA,76947.18,2.95,03-01-2025
LON891HLT0LFZZZ,CUSN2H47AC9MMNT,71737.5,9.17,13-02-2021
LON5MDA4WXA1P39,CUSHYMY2HXSUU6W,22759.14,6.01,23-03-2024
LON8FXVNBHDEY7O,CUS9RKB9UIDASYC,40573.0,9.0,14-01-2022
